pc_t_ms,t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,mad_roll_mdeg,mad_pitch_mdeg,mad_yaw_mdeg,mad_us,ekf_roll_mdeg,ekf_pitch_mdeg,ekf_yaw_mdeg,traceP_1e6,ekf_us,bx_uradps,by_uradps,bz_uradps
180,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
190,383683,17330,-254,-4044,-538,-42,43,162530,-37519,101922,7,13165,861,-28867,439946,165,-698,2125,9497
201,383694,17354,-264,-4012,-542,-38,43,163100,-36905,102156,7,13128,858,-28957,427696,165,-686,2124,9507
212,383705,17338,-298,-4118,-545,-42,44,163663,-36290,102380,7,13175,878,-28758,420214,165,-700,2127,9482
223,383717,17314,-250,-4058,-536,-41,39,164217,-35672,102595,7,13178,865,-28845,416342,166,-702,2126,9492
234,383728,17344,-244,-4040,-545,-43,45,164766,-35053,102802,7,13169,853,-28945,413245,166,-699,2124,9504
245,383739,17330,-266,-4142,-544,-45,46,165308,-34433,103000,7,13203,853,-28890,410500,166,-710,2124,9496
256,383750,17294,-290,-4066,-547,-54,43,165845,-33810,103190,7,13208,863,-28825,408458,167,-711,2125,9487
267,383761,17352,-290,-4148,-542,-49,42,166375,-33185,103371,7,13232,869,-28748,407217,169,-718,2126,9477
278,383772,17378,-266,-4076,-531,-40,47,166899,-32559,103543,7,13229,868,-28768,406305,165,-717,2126,9479
289,383783,17370,-262,-4088,-540,-37,49,167416,-31932,103709,7,13231,866,-28790,405545,165,-718,2126,9481
300,383794,17392,-260,-4078,-540,-44,44,167929,-31303,103866,7,13229,863,-28818,404895,165,-717,2126,9484
311,383805,17372,-226,-4062,-537,-39,47,168435,-30672,104016,7,13224,853,-28904,404308,165,-716,2125,9493
322,383816,17350,-254,-4114,-534,-43,43,168937,-30040,104159,7,13232,850,-28913,403628,165,-718,2125,9494
333,383827,17352,-256,-4058,-536,-43,49,169435,-29408,104294,7,13228,849,-28941,403004,165,-717,2124,9497
345,383838,17358,-250,-4058,-537,-41,51,169927,-28774,104423,7,13224,846,-28975,402423,165,-716,2124,9500
356,383849,17364,-258,-4072,-535,-40,44,170416,-28139,104545,7,13223,845,-28990,401853,165,-715,2124,9501
367,383860,17374,-274,-4124,-531,-40,52,170899,-27503,104659,7,13230,848,-28971,401338,165,-717,2124,9498
378,383871,17322,-258,-4132,-545,-38,54,171379,-26866,104768,7,13241,847,-28965,400921,165,-721,2124,9497
389,383882,17356,-268,-4028,-537,-40,47,171856,-26228,104870,7,13232,848,-28983,400564,165,-718,2124,9498
400,383893,17364,-276,-4118,-539,-42,44,172328,-25588,104966,7,13237,850,-28968,400253,165,-720,2124,9495
411,383904,17310,-258,-4154,-543,-43,44,172798,-24947,105056,7,13251,848,-28959,400001,165,-724,2124,9494
422,383915,17386,-292,-4090,-540,-43,42,173264,-24306,105140,7,13251,852,-28939,399793,165,-723,2124,9490
433,383927,17332,-238,-4106,-538,-44,47,173727,-23664,105217,7,13255,848,-28967,399637,165,-725,2124,9493
444,383938,17364,-240,-4060,-533,-47,44,174187,-23021,105288,7,13251,845,-29003,399469,166,-723,2124,9497
455,383949,17382,-246,-4106,-530,-45,48,174644,-22377,105354,7,13254,843,-29020,399288,166,-724,2124,9498
466,383960,17292,-258,-4128,-541,-47,51,175099,-21733,105414,7,13262,843,-29016,399084,167,-727,2123,9497
477,383971,17332,-282,-4074,-538,-43,49,175551,-21088,105468,7,13261,845,-29007,398914,165,-726,2124,9495
488,383982,17366,-246,-4050,-541,-35,40,175999,-20442,105517,7,13256,843,-29037,398793,165,-724,2123,9498
499,383993,17364,-264,-4056,-546,-39,42,176447,-19796,105561,7,13252,842,-29050,398661,165,-723,2124,9499
510,384004,17340,-256,-4084,-542,-45,47,176892,-19149,105599,7,13252,842,-29061,398538,165,-723,2123,9499
521,384015,17388,-252,-4054,-540,-45,44,177335,-18502,105632,7,13248,840,-29082,398428,165,-721,2123,9501
532,384026,17316,-290,-4096,-537,-37,44,177776,-17854,105659,7,13251,844,-29066,398302,165,-722,2124,9498
543,384037,17370,-258,-4058,-542,-47,43,178216,-17205,105682,7,13248,843,-29081,398230,165,-721,2124,9499
554,384048,17334,-230,-4110,-538,-38,46,178653,-16557,105698,7,13251,839,-29100,398157,165,-722,2123,9501
565,384059,17374,-268,-4136,-533,-39,41,179089,-15907,105710,7,13256,840,-29094,398075,165,-724,2123,9500
577,384070,17368,-216,-4148,-540,-39,45,179524,-15258,105716,7,13262,834,-29115,398014,165,-726,2122,9502
588,384081,17378,-298,-4098,-538,-39,41,179957,-14608,105718,7,13263,838,-29099,397932,165,-726,2123,9499
599,384092,17382,-270,-4098,-542,-43,40,-179609,-13958,105715,7,13263,838,-29101,397890,165,-726,2123,9498
610,384103,17356,-274,-4126,-536,-35,47,-179174,-13303,105706,7,13267,840,-29095,397860,165,-727,2123,9497
621,384115,17362,-248,-4130,-540,-40,44,-178740,-12647,105693,7,13271,838,-29103,397846,166,-728,2123,9497
632,384126,17332,-272,-4090,-534,-45,43,-178307,-11991,105674,7,13272,839,-29102,397828,166,-728,2123,9496
643,384137,17362,-274,-4058,-542,-47,43,-177873,-11336,105651,7,13269,840,-29107,397823,165,-727,2123,9496
654,384148,17380,-272,-4112,-532,-45,49,-177441,-10680,105622,7,13271,842,-29107,397829,165,-727,2124,9495
666,384159,17362,-304,-4150,-538,-43,55,-177009,-10025,105588,7,13277,847,-29088,397842,165,-729,2124,9492
677,384170,17346,-284,-4076,-541,-46,42,-176577,-9369,105550,7,13276,848,-29086,397862,165,-728,2124,9491
688,384181,17374,-278,-4134,-535,-48,47,-176149,-8719,105507,7,13280,850,-29084,397890,165,-729,2125,9489
699,384192,17382,-300,-4046,-543,-41,47,-175720,-8069,105460,7,13275,853,-29078,397917,165,-727,2125,9488
710,384203,17332,-304,-4178,-542,-45,49,-175292,-7419,105408,7,13284,857,-29065,397950,165,-730,2126,9485
721,384214,17356,-314,-4098,-540,-50,44,-174863,-6768,105351,7,13285,861,-29051,397971,165,-730,2127,9482
732,384225,17360,-232,-4112,-537,-39,46,-174435,-6118,105289,7,13287,858,-29073,397982,165,-730,2126,9484
743,384237,17362,-234,-4094,-536,-40,39,-174006,-5468,105223,7,13286,854,-29092,398005,165,-730,2126,9486
754,384248,17320,-254,-4090,-542,-44,38,-173577,-4818,105151,7,13287,852,-29104,398036,166,-730,2125,9487
765,384259,17388,-242,-4136,-533,-35,45,-173147,-4169,105075,7,13289,850,-29118,398073,166,-731,2125,9488
776,384270,17344,-214,-4160,-531,-47,47,-172716,-3520,104993,7,13296,846,-29141,398109,167,-733,2124,9491
788,384281,17370,-300,-4092,-536,-49,46,-172284,-2872,104907,7,13296,849,-29132,398142,165,-733,2125,9489
798,384292,17362,-316,-4080,-530,-45,51,-171851,-2224,104816,7,13295,854,-29119,398178,165,-732,2126,9486
