t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
652.381,0,-5,8,3,-1,-1,0,0
652.381,2,1,-2,-1,-2,-2,-1,-1
667.538,0,0,3,1,-3,1,-2,-2
667.538,-1,-1,0,0,-1,-1,0,1
668.548,-1,-1,-2,0,-1,-1,0,0
668.548,-3,-2,-1,0,0,-1,0,0
689.575,0,3,3,1,1,-3,-1,0
689.575,-1,-1,-2,-3,-1,1,1,1
696.304,-1,-1,-4,-3,0,-1,-2,-1
696.304,0,-2,-3,-2,0,-1,-2,0
703.616,3,2,-5,-3,0,0,-1,-1
703.616,0,1,0,0,-1,-1,0,-1
712.404,-1,0,-2,-1,2,0,1,0
712.404,1,-1,-1,1,0,0,-3,-1
726.964,-1,0,4,1,0,0,-1,-1
726.964,0,-2,-3,0,0,-1,-1,1
728.977,-1,1,-2,0,-1,-2,0,-1
728.977,1,2,0,-2,-1,0,1,-2
749.985,-2,-2,-1,-1,-3,1,1,0
749.985,0,0,0,1,1,0,-1,-2
750.991,0,2,-5,-1,-1,0,-1,1
750.991,1,-4,3,3,1,0,0,2
772.843,0,-2,0,0,0,-1,-2,-1
772.843,-1,-1,-2,-1,-2,-1,-1,-1
774.061,1,5,-5,-1,0,0,0,1
774.061,-1,-1,2,-2,0,0,-1,-1
787.112,2,0,0,0,-1,1,1,1
787.112,-1,-3,1,-1,0,-1,0,0
789.112,-2,-1,1,0,0,-1,-3,-1
789.112,-2,-1,0,-3,-1,-1,0,0
810.032,0,-1,0,1,-1,-1,-2,-1
810.032,0,0,-1,1,0,1,0,1
812.026,0,-1,1,1,-2,-3,1,-1
812.026,0,-1,0,-1,-2,-1,0,-1
823.748,-1,-2,0,0,0,-2,-2,0
823.748,-2,1,0,0,1,0,0,-1
831.931,-1,-2,1,1,0,-1,2,0
831.931,-1,-1,-2,-1,0,-1,0,1
847.631,-1,1,0,0,-2,0,0,-1
847.631,0,-2,1,0,0,1,-2,-1
849.014,-1,-3,-4,-2,-3,-2,0,0
849.014,-1,-5,6,4,1,0,-1,1
870.315,-1,0,-2,-3,-2,0,1,1
870.315,0,-1,-1,-1,0,-1,-1,-1
871.414,1,-6,6,1,2,1,0,-1
871.414,2,3,-3,-2,-3,-2,-1,-1
883.193,1,-1,2,1,-1,0,1,0
883.193,-1,0,2,0,-2,1,-1,0
909.953,-1,1,-1,0,0,-1,0,0
909.953,-1,0,-2,-1,-2,-1,0,-1
910.573,-1,-2,0,1,0,1,-1,2
910.573,0,0,-3,-2,1,-2,-2,-1
913.804,0,1,0,2,-1,1,1,0
913.804,0,0,-3,-1,0,-1,0,-1
929.487,0,1,-3,1,-1,-1,2,0
929.487,-1,2,2,0,-3,-2,-2,-1
931.515,-1,2,1,-2,-1,0,-2,-1
