pc_t_ms,emg_t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0,0,12,-62,14,25,89,3,-30,-20
0,0,104,58,10,105,114,-9,40,1
0,4,101,102,-15,97,31,-14,81,22
0,4,-69,-75,-6,-69,-83,16,-72,-7
0,5,-2,-50,4,18,53,3,-26,-11
0,5,61,24,4,63,71,-4,10,-3
0,7,113,95,1,111,69,-16,75,17
0,7,-60,-56,-10,-61,-67,12,-55,-2
0,18,-6,-46,4,3,38,4,-28,-7
0,18,58,10,2,62,79,-1,3,-5
0,19,93,88,-1,91,53,-14,67,17
0,19,-51,-47,-10,-52,-54,9,-49,-5
0,31,-4,-45,5,0,27,5,-32,-14
0,31,72,34,-8,75,78,-6,25,0
0,43,66,64,4,61,20,-7,42,9
0,43,-45,-46,-1,-44,-45,7,-48,-6
0,47,20,-25,0,30,45,1,-14,-8
0,47,54,28,9,55,59,-6,19,2
0,74,44,42,-5,43,8,-5,27,8
0,74,-25,-38,-2,-23,-19,7,-38,-3
0,74,27,-6,4,31,46,-3,-4,-6
0,74,40,23,2,41,47,-2,13,1
0,99,30,25,-1,28,10,-4,15,3
0,99,-4,-15,-2,-2,-1,3,-20,-3
0,100,27,-3,-1,27,43,0,1,-1
0,100,30,12,9,32,37,-1,6,1
0,133,-87,13,-14,-97,-110,3,-4,10
0,133,-101,-102,2,-97,-40,18,-87,-23
0,133,86,3,1,89,91,-2,6,-7
0,133,92,72,0,97,116,-11,60,12
0,138,-39,24,-3,-45,-49,-3,11,12
0,138,-74,-64,-1,-75,-36,9,-61,-15
0,138,42,-20,9,44,53,2,-13,-12
0,138,99,71,0,103,118,-15,61,5
0,144,-17,32,-3,-24,-33,-1,14,11
0,144,-63,-54,-8,-63,-29,9,-47,-9
0,152,42,-19,9,47,56,3,-16,-7
0,152,95,70,-2,96,99,-10,60,9
0,161,-22,19,-6,-24,-28,1,7,11
0,161,-58,-61,1,-57,-13,5,-51,-14
0,183,50,-2,2,55,62,0,3,-4
0,183,74,58,2,74,76,-10,49,7
0,184,-26,-2,-4,-27,-23,1,-5,2
0,184,-28,-37,-4,-25,12,8,-31,-10
0,205,48,10,2,48,50,-3,7,-1
0,205,53,43,-4,56,57,-8,35,3
0,213,-15,-7,-5,-11,-6,1,-13,0
0,213,-8,-19,2,-8,19,0,-15,-5
0,220,36,8,3,37,40,-1,5,-2
0,220,38,22,-1,40,46,-4,20,4
0,227,-3,-5,-3,2,8,1,-5,2
0,227,-2,-11,6,-2,22,2,-9,-4
0,243,24,3,-3,26,31,-2,3,-2
0,243,39,22,1,41,45,-6,19,4
