pc_t_ms,emg_t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,imu_match,imu_source_idx,imu_pc_t_ms,imu_dt_ms,imu_t_ms,imu_ax_raw,imu_ay_raw,imu_az_raw,imu_gx_raw,imu_gy_raw,imu_gz_raw,imu_mad_roll_mdeg,imu_mad_pitch_mdeg,imu_mad_yaw_mdeg,imu_mad_us,imu_ekf_roll_mdeg,imu_ekf_pitch_mdeg,imu_ekf_yaw_mdeg,imu_traceP_1e6,imu_ekf_us,imu_bx_uradps,imu_by_uradps,imu_bz_uradps
0,0,-19,-111,-3,-45,-111,-111,-71,-47,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
0,0,-33,-54,-8,-71,64,-67,-20,-102,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
0,0,6,88,2,15,93,88,25,14,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
0,0,36,119,7,86,110,116,58,81,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
0,1,-6,-51,-5,-16,-57,-52,-41,-17,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
0,1,-23,-45,-3,-50,39,-54,-17,-68,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
0,5,-2,53,0,-7,68,50,7,-17,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
0,5,36,116,8,86,103,113,57,80,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
0,9,-4,-38,-4,-17,-48,-36,-31,-5,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
0,9,-21,-40,-5,-47,30,-49,-18,-62,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
0,11,-4,55,-1,-6,73,52,13,-15,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
0,11,32,99,8,72,79,98,45,74,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
0,26,-5,-33,0,-17,-41,-33,-34,-12,1,0,180.000,-180.000,383672,17348,-278,-4060,-538,-46,40,161953,-38130,101679,7,13180,886,-28673,462449,165,-702,2127,9473
