pc_t_ms,emg_t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0,687,-6,16,0,-7,25,14,-5,-9
0,687,3,37,0,8,28,37,2,2
0,688,3,23,-2,4,29,20,-1,10
0,688,-2,11,3,-2,4,11,-7,4
0,695,-5,16,-3,-6,24,13,-4,-8
0,695,2,37,2,8,31,32,3,3
0,696,1,24,-1,1,31,21,1,7
0,696,-2,12,-2,-3,3,10,-7,4
0,709,-5,17,-2,-9,25,15,-2,-10
0,709,1,36,1,5,34,32,3,3
0,716,3,24,1,3,32,21,1,8
0,716,-2,8,-3,-2,-4,9,-10,4
0,740,-3,17,2,-9,25,15,-4,-8
0,740,0,39,1,5,25,29,2,6
0,740,0,24,-5,3,30,20,2,9
0,740,-2,8,2,1,-19,9,-8,2
0,770,-7,17,3,-10,26,14,-3,-8
0,770,4,36,-1,7,25,34,4,5
0,771,2,25,3,13,30,21,3,9
0,771,-3,2,-4,-15,-16,2,-8,2
0,772,-5,18,-3,-6,25,14,-2,-6
0,772,2,36,-2,4,29,29,4,5
0,777,2,24,2,5,29,21,2,9
0,777,-4,-8,0,-3,-1,-6,-9,1
12,799,-4,17,-6,-8,23,14,-1,-5
12,799,2,34,2,5,29,31,2,7
12,801,3,24,-4,1,28,20,2,13
12,801,-2,-9,2,-1,2,-8,-10,1
27,815,-5,17,-2,-7,25,14,-2,-4
27,815,1,33,-2,10,33,35,1,4
27,815,3,23,3,9,29,20,4,7
27,815,-3,-3,-4,-5,4,-7,-7,1
40,829,-5,17,0,-6,25,13,-2,-4
40,829,3,36,2,5,31,35,3,6
48,836,1,23,-2,5,28,20,2,10
49,836,-6,-7,-2,-9,3,-8,-10,-1
64,852,-4,17,-1,-5,24,14,-1,-2
64,852,0,31,-1,5,30,34,4,5
65,853,2,22,0,11,30,20,2,10
65,853,-3,-11,0,-5,7,-11,-11,0
94,882,-1,17,1,-6,26,14,0,-2
94,882,0,33,1,7,30,34,3,5
95,883,4,22,1,3,30,19,2,6
95,883,-2,-3,-2,-11,4,-7,-10,1
100,888,-5,17,-1,-4,23,15,-1,-3
100,888,2,32,0,5,31,34,0,9
109,896,0,21,0,9,30,20,1,9
109,896,-3,-9,-4,-10,14,-11,-8,-1
124,912,-5,17,0,-5,33,13,2,-2
124,912,3,31,2,4,30,31,1,9
125,912,3,21,0,4,30,19,5,8
125,912,-5,-2,1,-8,7,-7,-9,0
147,935,-1,17,-4,-3,34,15,0,-1
147,935,2,29,1,2,31,25,3,6
147,935,1,21,-1,6,31,19,4,7
147,935,-3,-7,3,-1,5,-9,-9,-2
160,948,-5,17,1,-6,34,14,2,-2
160,948,1,31,-4,6,29,32,4,8
168,956,1,21,1,13,33,18,2,8
168,956,-3,-4,-3,-8,14,-2,-9,-1
184,972,-3,17,-2,-2,39,14,2,-2
184,972,3,28,2,3,31,29,3,8
185,973,0,21,-1,2,32,19,3,10
185,973,-5,-5,1,-3,9,-4,-11,-1
207,994,-2,18,-1,-6,38,15,3,-2
207,994,1,32,-2,8,31,30,3,8
207,995,3,22,-1,4,34,19,5,11
208,995,-3,-6,0,-7,10,-9,-13,-5
229,1017,-6,17,-5,-3,39,15,1,-2
229,1017,3,32,2,13,29,23,3,5
231,1019,4,23,0,2,32,18,6,7
231,1019,-4,-9,0,-6,10,-9,-9,-5
243,1031,-2,17,-1,-5,36,15,5,-2
243,1031,3,31,0,6,30,29,2,8
259,1048,2,23,-2,9,34,19,3,8
259,1048,-2,-12,2,-13,13,-11,-9,-5
266,1055,-3,17,-1,1,33,15,2,-2
267,1055,0,28,0,3,28,27,3,8
268,1057,4,22,-1,7,34,19,4,11
268,1057,-5,-13,-2,-8,15,-15,-11,-9
288,1076,-1,17,1,0,30,14,2,-1
288,1076,1,30,-1,-2,29,30,2,9
297,1084,2,23,0,13,31,20,6,9
297,1084,-7,-13,0,-13,20,-14,-7,-9
303,1091,-1,16,-3,2,33,13,5,-1
303,1091,1,27,4,-3,28,30,1,6
312,1100,3,22,-2,7,31,19,4,9
312,1100,-5,-11,-3,-9,20,-19,-8,-10
334,1122,1,16,1,-1,33,13,1,-2
334,1122,3,29,0,4,27,29,2,9
336,1123,4,23,-1,5,32,19,2,9
336,1123,-4,-6,1,-12,22,-15,-10,-12
349,1137,0,16,-6,-1,30,14,5,-1
349,1137,3,25,0,9,27,29,5,8
351,1139,1,22,1,11,33,18,4,7
351,1139,-4,-4,-3,-1,22,-13,-10,-10
372,1160,-2,16,5,0,29,13,6,-2
372,1160,0,25,-6,4,26,29,2,7
373,1161,3,22,3,9,32,19,3,6
373,1161,-4,-4,-3,-7,23,-9,-11,-12
385,1173,-1,17,0,2,36,13,5,-2
385,1173,2,26,-1,-1,27,25,3,9
394,1182,3,22,-3,8,30,20,5,6
394,1182,-3,-3,-2,-10,23,-8,-11,-12
417,1205,0,21,1,1,51,15,8,-1
