pc_t_ms,emg_t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0,0,-3,-44,4,1,-111,-45,-8,4
0,0,-2,-40,-1,-18,-8,-37,-8,-21
0,1,1,15,-2,-1,55,14,2,-7
0,1,6,54,-1,14,99,53,6,18
0,2,-7,-20,2,3,-63,-20,-4,2
0,2,-3,-30,-2,-12,-7,-28,-6,-15
0,5,-1,-6,-1,-5,27,-4,-1,-10
0,5,3,55,-2,14,97,52,8,17
0,19,-2,-14,3,3,-51,-16,-3,7
0,19,-2,-26,1,-8,-18,-24,-6,-12
0,21,2,0,0,-9,46,0,-1,-11
0,21,2,44,0,14,67,43,10,17
0,30,-1,-15,2,1,-44,-16,-2,4
0,30,-3,-26,-2,-10,-1,-25,-4,-15
0,43,4,6,-3,-3,42,6,3,-6
0,43,3,31,0,10,33,32,4,16
0,51,0,-18,1,-2,-36,-18,-3,2
0,51,0,-12,-1,-6,5,-12,-3,-8
0,74,-1,5,-1,1,26,5,1,0
0,74,1,21,-1,6,28,20,3,9
0,76,0,-15,0,-2,-18,-14,-4,-3
0,76,-1,-6,0,-4,13,-5,-1,-8
0,88,0,5,0,1,29,5,0,-1
0,88,0,13,-1,5,26,12,2,3
0,128,1,14,-2,-8,78,13,3,-6
0,128,4,61,-1,13,118,60,10,22
0,129,0,-7,3,8,-88,-9,-1,15
0,129,-6,-46,-1,-16,-35,-45,-10,-19
0,133,-1,1,-3,-5,29,1,0,-8
0,133,4,37,-3,8,96,38,5,7
0,134,-1,7,2,10,-43,7,2,18
0,134,-4,-39,0,-11,-38,-36,-6,-20
0,139,-2,-9,-2,-6,13,-9,-1,-14
0,139,2,37,-2,7,93,37,3,2
0,154,2,6,3,8,-42,4,0,13
0,154,-5,-34,-2,-11,-25,-32,-7,-15
0,161,2,-4,-2,-5,33,-4,-2,-9
0,161,2,36,-3,8,69,37,5,12
0,170,2,-3,3,5,-37,-4,0,8
0,170,0,-25,-1,-13,-18,-30,-7,-14
0,176,-12,7,-1,-1,28,5,0,-5
0,176,5,22,-2,6,50,22,4,3
0,200,7,-10,2,3,-32,-6,2,8
0,200,-2,-15,0,-7,3,-16,-2,-10
0,200,-6,3,-2,-2,21,6,-1,-2
0,200,-4,19,0,4,34,16,1,7
0,214,-3,-7,1,0,-15,-11,-3,0
0,214,-1,-8,-2,-3,13,-5,-1,-4
0,221,7,1,1,-2,18,0,0,3
0,221,-4,10,-2,5,33,9,2,4
0,236,-3,-5,1,0,-3,-5,2,-2
0,236,0,-6,0,-3,9,-4,0,-4
0,237,5,0,-2,-2,12,1,-3,-1
0,237,2,10,0,1,32,11,4,8
0,259,-2,-3,-1,1,-1,-5,-3,2
0,259,-1,-4,1,-3,0,-7,-1,-7
0,259,2,1,0,-1,25,0,1,-5
0,259,0,10,0,3,26,13,1,6
0,282,-4,-4,-2,-1,-2,-7,-3,-1
0,282,1,-6,-1,-3,11,-3,0,0
0,282,1,2,1,0,29,3,0,-1
0,282,4,7,0,1,20,5,0,2
0,298,-12,-10,1,0,2,-8,-4,-7
0,298,10,-1,-1,-3,18,-1,-1,-3
0,299,0,4,0,2,20,2,0,-1
0,299,-1,7,-1,2,19,3,-1,5
0,319,-2,-9,0,-3,2,-7,-1,0
0,319,-3,1,-1,-1,29,2,1,-1
0,328,0,3,-2,-1,16,5,1,1
0,328,2,6,1,4,14,5,0,3
0,341,2,-7,-1,-3,4,-9,-2,0
0,341,-2,1,0,1,29,1,-1,-1
0,343,2,2,1,1,14,0,-1,0
0,343,-3,3,-1,1,14,5,1,-2
0,365,-1,-6,-2,-4,6,-7,-1,-2
0,365,-1,1,-1,-1,31,4,1,0
0,366,1,1,-2,-1,16,2,0,1
0,366,-3,4,0,2,16,4,2,1
0,387,-1,-6,1,-1,6,-8,-4,-5
0,387,0,4,-1,0,26,1,-1,-2
0,388,-2,1,-1,0,21,3,1,-1
0,388,4,3,-2,1,15,2,-1,4
