pc_t_ms,t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,mad_roll_mdeg,mad_pitch_mdeg,mad_yaw_mdeg,mad_us,ekf_roll_mdeg,ekf_pitch_mdeg,ekf_yaw_mdeg,traceP_1e6,ekf_us,bx_uradps,by_uradps,bz_uradps
197,1125862,17304,-782,-3974,-534,-45,51,34987,-20895,5678,7,13298,1971,-44464,556601,165,-380,2331,9376
201,1125873,17352,-840,-3970,-536,-42,48,35569,-21353,6046,7,13205,2142,-44679,545422,165,-357,2368,9372
206,1125884,17386,-826,-4022,-536,-38,47,36157,-21808,6419,7,13174,2236,-44966,533463,165,-348,2394,9392
210,1125895,17370,-798,-4034,-535,-42,48,36750,-22259,6799,7,13159,2288,-45143,520072,165,-343,2409,9405
221,1125906,17350,-818,-3978,-535,-43,47,37348,-22707,7186,7,13125,2335,-45090,507026,165,-335,2415,9389
232,1125917,17332,-824,-4042,-536,-39,47,37952,-23151,7579,7,13127,2375,-45369,497577,165,-334,2431,9417
243,1125928,17346,-860,-3950,-532,-42,52,38560,-23591,7978,7,13094,2419,-45269,486023,165,-326,2436,9396
254,1125939,17354,-848,-3998,-538,-46,58,39175,-24028,8383,7,13083,2450,-45346,478068,165,-323,2443,9400
265,1125950,17302,-822,-3988,-530,-39,49,39795,-24460,8796,7,13073,2470,-45363,470220,165,-321,2447,9398
276,1125961,17306,-820,-3956,-533,-48,43,40421,-24890,9216,7,13057,2485,-45252,463535,165,-317,2446,9380
286,1125972,17362,-886,-4038,-532,-40,42,41054,-25316,9642,7,13061,2513,-45514,459237,165,-316,2459,9408
298,1125983,17362,-884,-4058,-533,-43,40,41693,-25738,10076,7,13069,2536,-45791,452973,165,-316,2472,9439
309,1125994,17344,-852,-4044,-532,-48,43,42343,-26158,10520,7,13074,2550,-45949,443843,165,-316,2479,9456
320,1126005,17370,-756,-4072,-537,-53,51,42999,-26575,10970,7,13083,2543,-46010,433980,165,-318,2479,9464
331,1126016,17380,-814,-4024,-541,-39,49,43660,-26988,11427,7,13080,2547,-46003,424917,165,-317,2480,9462
355,1126027,17306,-802,-4028,-547,-39,47,44327,-27396,11891,7,13082,2550,-46041,416915,165,-317,2481,9465
358,1126038,17332,-760,-4032,-542,-50,49,45002,-27800,12363,7,13084,2544,-46021,409787,165,-318,2479,9463
364,1126049,17386,-794,-4062,-529,-48,49,45683,-28198,12842,7,13088,2545,-46070,404256,165,-318,2481,9469
375,1126060,17320,-842,-4020,-529,-40,46,46371,-28592,13329,7,13087,2554,-46108,398624,165,-318,2483,9471
387,1126071,17338,-776,-4024,-538,-42,56,47064,-28980,13823,7,13087,2552,-46085,393347,165,-318,2482,9468
397,1126082,17314,-822,-4028,-536,-36,51,47764,-29364,14324,7,13087,2557,-46121,388939,165,-318,2484,9471
408,1126093,17390,-832,-4006,-535,-34,45,48471,-29743,14833,7,13082,2562,-46091,384954,165,-317,2483,9466
419,1126104,17310,-842,-4000,-538,-38,49,49185,-30117,15349,7,13079,2570,-46095,381455,165,-316,2485,9464
430,1126115,17370,-842,-3996,-533,-44,54,49906,-30485,15872,7,13074,2576,-46067,378463,165,-315,2485,9459
441,1126126,17394,-820,-4002,-537,-41,51,50634,-30848,16403,7,13069,2579,-46028,376032,165,-314,2483,9452
453,1126138,17342,-848,-3978,-537,-40,48,51369,-31205,16942,7,13063,2586,-45994,374014,166,-313,2483,9446
463,1126149,17334,-836,-3990,-536,-43,43,52111,-31557,17489,7,13060,2590,-45975,372378,166,-312,2483,9442
474,1126160,17380,-818,-4016,-546,-42,48,52859,-31903,18042,7,13058,2591,-45967,371053,167,-311,2483,9440
485,1126171,17350,-842,-4052,-544,-40,46,53615,-32244,18604,7,13062,2596,-46038,369879,165,-312,2486,9447
496,1126182,17384,-814,-4030,-544,-45,55,54378,-32578,19172,7,13062,2597,-46043,368528,165,-312,2486,9447
507,1126193,17340,-772,-4016,-532,-43,49,55148,-32905,19749,7,13062,2593,-46015,367242,165,-312,2484,9443
519,1126204,17370,-804,-4024,-535,-39,52,55925,-33226,20333,7,13061,2594,-46011,366250,165,-312,2484,9442
530,1126215,17340,-836,-4048,-535,-44,47,56709,-33541,20925,7,13065,2597,-46064,365359,165,-312,2486,9448
541,1126226,17340,-826,-3986,-538,-48,45,57501,-33850,21525,7,13062,2600,-46035,364325,165,-311,2485,9443
552,1126237,17330,-820,-4010,-528,-46,42,58300,-34151,22132,7,13061,2601,-46035,363502,165,-311,2485,9442
563,1126248,17320,-870,-3968,-539,-41,51,59105,-34446,22746,7,13056,2609,-46019,362748,165,-310,2486,9438
574,1126259,17356,-870,-3978,-533,-42,45,59917,-34734,23369,7,13051,2615,-46006,362125,165,-309,2486,9434
585,1126270,17340,-822,-3998,-534,-36,45,60736,-35014,23998,7,13049,2616,-45993,361580,165,-308,2486,9431
596,1126281,17388,-860,-4002,-536,-50,41,61563,-35288,24635,7,13047,2621,-45993,361141,165,-308,2486,9430
607,1126292,17346,-872,-3978,-542,-48,50,62396,-35555,25278,7,13044,2627,-45987,360716,165,-307,2487,9427
618,1126303,17306,-838,-4016,-537,-39,44,63235,-35814,25929,7,13045,2630,-46014,360321,165,-307,2488,9429
629,1126314,17360,-834,-3956,-547,-47,49,64081,-36066,26586,7,13039,2631,-45960,359919,165,-306,2487,9421
640,1126325,17366,-788,-3980,-536,-52,45,64935,-36310,27251,7,13036,2628,-45904,359653,165,-305,2484,9413
651,1126336,17334,-836,-3938,-540,-45,51,65794,-36546,27922,7,13029,2631,-45847,359468,165,-304,2482,9404
662,1126347,17336,-818,-3944,-535,-41,51,66659,-36773,28600,7,13023,2632,-45786,359307,165,-302,2480,9395
673,1126359,17384,-828,-4054,-537,-37,53,67530,-36993,29284,7,13026,2633,-45826,359135,169,-303,2481,9400
684,1126370,17378,-830,-3984,-540,-43,53,68409,-37205,29975,7,13023,2635,-45806,358996,167,-302,2481,9396
695,1126381,17336,-812,-4030,-540,-50,50,69293,-37408,30672,7,13026,2634,-45826,358842,166,-303,2481,9398
706,1126392,17346,-828,-3964,-538,-40,46,70183,-37604,31375,7,13022,2636,-45795,358712,165,-302,2480,9393
717,1126403,17296,-808,-3984,-536,-42,51,71077,-37790,32083,7,13021,2635,-45781,358550,165,-301,2479,9390
728,1126414,17364,-794,-4024,-545,-44,47,71978,-37968,32798,7,13022,2633,-45779,358393,165,-302,2478,9390
740,1126425,17330,-798,-4036,-537,-40,50,72883,-38137,33518,7,13025,2631,-45795,358238,165,-302,2478,9391
751,1126436,17320,-850,-3988,-538,-46,49,73794,-38297,34243,7,13024,2635,-45804,358109,165,-302,2479,9391
762,1126447,17336,-828,-4058,-541,-40,44,74710,-38449,34974,7,13029,2636,-45850,357993,165,-303,2481,9396
773,1126458,17400,-812,-3984,-536,-44,39,75632,-38591,35710,7,13025,2635,-45822,357925,165,-302,2479,9392
