t_center_ms,fs_hz,angle_src,mav0,mav1,mav2,mav3,mav4,mav5,mav6,mav7,rms0,rms1,rms2,rms3,rms4,rms5,rms6,rms7,zc0,zc1,zc2,zc3,zc4,zc5,zc6,zc7,wl0,wl1,wl2,wl3,wl4,wl5,wl6,wl7,env_mean0,env_mean1,env_mean2,env_mean3,env_mean4,env_mean5,env_mean6,env_mean7,roll_mean_deg,roll_std_deg,roll_slope_degps,pitch_mean_deg,pitch_std_deg,pitch_slope_degps,imu_match_ratio
0.000000,94.851707,EKF,1.119814,3.163845,0.479109,1.000232,6.689814,3.728062,1.092867,2.206987,1.352485,3.425226,0.598572,1.144481,7.840303,4.139629,1.329954,2.658502,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,13.745550,34.215643,6.585550,12.361258,79.036325,42.065014,15.578821,28.466550,2.355750,6.080444,0.797449,2.152746,11.727914,6.173342,1.315146,3.129243,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,2.244745,3.016142,0.429615,0.964118,5.409911,3.055150,0.670578,1.769557,3.237892,3.356961,0.556671,1.105479,6.360647,3.640531,0.875573,2.398427,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,30.223418,38.536113,6.005642,10.498070,78.211932,42.370477,9.995735,25.199217,1.987210,4.085319,0.667514,1.417876,8.186310,4.260041,1.170646,2.508831,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,2.238891,3.016291,0.409209,0.793369,4.493412,2.328095,0.521350,1.261912,3.209692,3.426659,0.478968,1.017734,5.533855,2.604903,0.707813,1.653973,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,32.223571,34.933526,5.290138,10.393937,64.183732,25.100216,6.549461,17.681662,2.458280,3.425172,0.556891,1.174334,6.720313,3.573611,1.089244,2.288103,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,1.078732,2.416914,0.488851,0.911079,4.151331,2.290273,0.391369,0.975657,1.128767,2.907034,0.542018,1.236274,5.145213,2.734798,0.540116,1.237777,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,10.377981,29.822611,6.663693,14.449121,63.866815,29.809456,4.638416,9.540063,2.693205,3.358789,0.518078,1.176342,5.912123,3.211974,0.845511,1.878634,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,0.833364,2.099471,0.496132,0.903260,4.332757,2.606054,0.686428,0.786674,1.010884,2.510994,0.536286,1.156924,5.122954,3.161854,0.944580,1.012266,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,13.939134,23.016842,4.627227,11.780919,59.049290,33.438269,9.122530,6.565480,2.244942,3.068357,0.530848,1.249073,5.269032,2.872213,0.683692,1.355972,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,1.315986,1.952274,0.460996,0.527812,4.106257,2.295534,0.783178,1.003076,1.751812,2.330491,0.504226,0.676075,4.916149,2.782656,0.980035,1.298270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.301387,28.437685,5.016293,7.821676,47.714142,29.717762,11.522478,11.815889,1.403380,2.613011,0.546288,1.171487,5.023396,2.822098,0.756898,1.097656,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,1.176984,1.769425,0.459981,0.424660,2.268859,2.004627,0.739706,1.060281,1.707923,2.330396,0.550073,0.512297,3.021443,2.470728,0.786189,1.250847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.748351,27.344089,5.567514,5.584178,28.767799,28.742584,7.506397,14.063575,1.370692,2.342393,0.555447,0.906538,4.528689,2.738566,0.868966,1.117840,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,0.497202,1.896141,0.292810,0.380623,2.318331,1.635508,0.769940,0.957527,0.665847,2.402888,0.451272,0.415749,2.970017,1.961893,0.860437,1.054882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.287119,29.126452,3.978400,3.266065,29.574603,23.583485,10.336899,10.438231,1.457279,2.383094,0.529763,0.628238,3.814830,2.516088,0.894654,1.184935,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,0.515778,2.463588,0.312910,0.689144,2.786426,1.885602,0.559014,1.219776,0.667255,2.841499,0.416762,0.808824,3.746278,2.197858,0.712769,1.519181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.763857,30.138214,3.222392,7.515356,37.293978,24.291596,7.598120,15.519328,1.211304,2.533462,0.469127,0.578327,3.489620,2.330255,0.829752,1.257464,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,1.295012,2.264279,0.288370,0.895317,4.244069,1.668977,0.485557,1.420814,1.714548,2.601805,0.404583,1.057158,5.169960,1.860837,0.562749,1.715707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.263193,26.647158,3.631215,10.213230,52.070132,17.940205,6.814774,22.198816,1.060199,2.610816,0.413586,0.733349,3.909838,2.142246,0.743113,1.443203,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,1.017757,1.882354,0.537801,0.896046,3.843356,1.536188,0.658644,1.163418,1.421319,2.244837,0.719595,1.121452,4.816479,2.030682,0.821995,1.581983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.921997,26.589909,7.200322,12.372781,52.327888,24.198514,10.821932,15.927304,1.323409,2.551269,0.441329,0.954664,4.594371,2.048626,0.687302,1.691573,13.298000,0.000000,,1.971000,0.000000,,1.000000
